Key,Description,Standard
SAY.CallOthersFC.986.怪物女王,,換衣服？為什麼要做這麼麻煩的事......
SAY.WorkFlowchart.1005.,,午後在飲料店打工\n......\n得到店長的讚賞!
SAY.WorkFlowchart.973.,,早上在早餐店打工\n......\n得到店長的讚賞!
SAY.WorkFlowchart.1011.,,晚上在餐廳端盤子\n......\n得到店長的讚賞!
SAY.WorkFlowchart.1000.,,早上在早餐店打工\n......\n順利的完成了工作!
SAY.WorkFlowchart.1003.,,早上在早餐店打工\n......\n啊...反正是失敗了
SAY.WorkFlowchart.1007.,,午後在地區b打工\n......\n順利的完成了工作!
SAY.WorkFlowchart.1009.,,午後在地區c打工\n......\n啊...反正是失敗了
SAY.WorkFlowchart.1013.,,晚上在地區b打工\n......\n順利的完成了工作!
SAY.WorkFlowchart.1015.,,晚上在地區c打工\n......\n啊...反正是失敗了
SAY.WorkFlowchart.1055.,,工作結束回到了家裡。
SETTEXT.WorkFlowchart.1171,,{$ActionPoint}
SAY.TouchLowerbodyFlowchart.1105.怪物女王,,「這種事情…嗯…!」
SAY.TouchLowerbodyFlowchart.1106.怪物女王,,「等…等一下……!」
SAY.TouchLowerbodyFlowchart.1052.怪物女王,,「你想幹嘛？」
SAY.TouchLowerbodyFlowchart.1053.怪物女王,,「走開......」
SAY.TouchLowerbodyFlowchart.1056.怪物女王,,「靠得太近了。」
SAY.TouchLowerbodyFlowchart.1057.,,王女把你一腳踢開。
SAY.TouchLowerbodyFlowchart.1081.,,(怪物王女期待著你做些什麼。)
SAY.TouchLowerbodyFlowchart.1083.,,(怪物王女不自覺的注視著你)
SAY.TouchLowerbodyFlowchart.1085.,,「怪物王女不時的將目光投到你身上。」
SAY.TouchLowerbodyFlowchart.1087.,,(怪物王女無所事事的樣子。)
SAY.TouchLowerbodyFlowchart.1089.,,(怪物王女正躺在床上發呆。)
SAY.TouchLowerbodyFlowchart.1091.,,(怪物王女似乎很不滿的樣子。)
SAY.TouchLowerbodyFlowchart.1093.,,(怪物王女完全不想理你。)
SAY.TouchLowerbodyFlowchart.1229.,,好感：{$Favorability} (+{$R_Favorability})\n心情：{$Vagina_Sense} (+{$R_Vagina})\n下體敏感：{$Emotion} (+{$R_Emotion})
SAY.TouchLowerbodyFlowchart.1234.,,好感：{$Favorability} (+{$R_Favorability})\n心情：{$Vagina_Sense} (+{$R_Vagina})\n下體敏感：{$Emotion} (+{$R_Emotion})
SAY.TouchLowerbodyFlowchart.1235.,,潤滑：{$Lubricating_Sense} (+{$R_Lubricating})
SAY.TouchBreastFlowchart.977.怪物女王,,「你想幹嘛？」
SAY.TouchBreastFlowchart.978.怪物女王,,「走開......」
SAY.TouchBreastFlowchart.982.怪物女王,,「這種事情…嗯…!」
SAY.TouchBreastFlowchart.998.,,(怪物王女期待著你做些什麼。)
SAY.TouchBreastFlowchart.1000.,,(怪物王女不自覺的注視著你)
SAY.TouchBreastFlowchart.1002.,,「怪物王女不時的將目光投到你身上。」
SAY.TouchBreastFlowchart.1004.,,(怪物王女無所事事的樣子。)
SAY.TouchBreastFlowchart.1006.,,(怪物王女正躺在床上發呆。)
SAY.TouchBreastFlowchart.1008.,,(怪物王女似乎很不滿的樣子。)
SAY.TouchBreastFlowchart.1010.,,(怪物王女完全不想理你。)
SAY.TouchBreastFlowchart.1015.怪物女王,,「靠得太近了。」
SAY.TouchBreastFlowchart.1016.,,王女把你一腳踢開。
SAY.TouchBreastFlowchart.1020.怪物女王,,「等…等一下……!」
SAY.TouchBreastFlowchart.1266.,,好感：{$Favorability} (+{$R_Favorability})\n心情：{$Emotion} (+{$R_Emotion})\n下體敏感：{$Breast_Sense} (+{$R_Vagina})\n
SAY.TouchBreastFlowchart.1264.,,好感：{$Favorability} (+{$R_Favorability})\n心情：{$Emotion} (+{$R_Emotion})\n下體敏感：{$Breast_Sense} (+{$R_Vagina})\n
SAY.TouchBreastFlowchart.1265.,,潤滑：{$Lubricating_Sense} (+{$R_Lubricating})
SETTEXT.Sex1Flowchart.51,,{$Breast}
SETTEXT.Sex1Flowchart.53,,{$Mouth}
SETTEXT.Sex1Flowchart.55,,{$Vaginal}
